Symbol;Name;Symbol2;Currency
COFU;UBS ETC linked to UBS Bloomberg CMCI Components USD Total Return Coffee Index;COFU;USD
LPET;ETFS 2X Daily Long Petroleum;LPET;USD
1GOS;Boost Gold 1x Short Daily ETP;1GOS;USD
AUCP;L&G Gold Mining UCITS ETF;AUCP;GBP
DFJA;Wisdomtree Japan Smallcap Dividend UCITS ETF;DFJA;USD
DXGG;Wisdomtree Germany Equity UCITS ETF;DXGG;GBP
LIVP;UBS ETC linked to the UBS Bloomberg CMCI Livestock GBP Mth Hdg TR;LIVP;GBP
MGTL;Lyxor DJ Global Titans 50 UCITS ETF;MGTL;GBP
NGSP;ETFS Natural Gas;NGSP;GBP
FJPU;First Trust Japan AlphaDEX UCITS ETF;FJPU;USD
2GOO;Leverage Shares 2x Alphabet ETP;2GOO;GBP
1PAS;Boost Palladium 1x Short Daily ETP;1PAS;USD
INFU;Lyxor USD 10Y Inflation Expectations UCITS ETF;INFU;USD
NJXU;Nomura JPX-Nikkei 400 Net Total Return Daily USD Hedged Index UCITS ETF;NJXU;USD
XSD2;Xtrackers ShortDAX x2 Daily Swap UCITS ETF;XSD2;GBP
GCGB;UBS ETC linked to the UBS Bloomberg CMCI Components Gold GBP Mth Hdg TR;GCGB;GBP
OILU;UBS ETC linked to UBS Bloomberg CMCI Components USD Total Return WTI Crude Index;OILU;USD
XCS2;Xtrackers II Australia Government Bond UCITS ETF;XCS2;GBP
AUHGBA;UBS Irl ETF plc - MSCI Australia UCITS ETF;AUGA;GBP
SG87;SG FTSE x5 DAILY SHORT;SG87;GBP
VLED;BNP PARIBAS EASY Equity Low Vol Europe UCITS ETF;0HFT;EUR
XGGB;Xtrackers II Global Government Bond UCITS ETF;XGGB;USD
HEDF;WisdomTree Europe Equity UCITS ETF;HEDF;EUR
OILUSA;UBS ETF CH-CMCI Oil SF USD;0MKV;USD
QQQ3;Boost NASDAQ 100 3x Leverage Daily ETP;QQQ3;USD
HMCD;HSBC MSCI CHINA UCITS ETF;HMCD;USD
EL41;Deka MSCI USA MC UCITS ETF;0MPZ;EUR
ENL2;LEVERAGE SHARES 2X ENEL;ENL2;EUR
JBPLGA;GAM Precious Metals - Physical Platinum;0ANO;GBP
MAJQ;Market Access iSTOXX MUTB Japan Quality 150 Index UCITS ETF;MAJQ;GBP
XUTC;Xtrackers MSCI USA Information Technology UCITS ETF;XUTC;USD
3LDE;Boost LevDAX 3x Daily ETP;3LDE;GBP
SVUSA;UBS ETF CH-Silver;0GP2;USD
XAXJ;Xtrackers MSCI AC Asia ex Japan Swap UCITS ETF;XAXJ;GBP
BULL;ETFS Gold;BULL;USD
TURL;Lyxor MSCI Turkey UCITS ETF;TURL;GBP
0LLR;VanEck Vectors Brazil Small-Cap ETF;0LLR;USD
HLTG;Lyxor MSCI World Health Care TR UCITS ETF;HLTG;GBP
SG91;SG S&P x3 DAILY SHORT;SG91;USD
USFR;WisdomTree USD Floating Rate Treasury Bond UCITS ETF;USFR;USD
0L13;SPDR S&P Metals & Mining ETF;0L13;USD
FCTR;Wisdomtree US Multifactor UCITS ETF;FCTR;USD
VDEA;Vanguard USD Emerging Markets Government Bond UCITS ETF;VDEA;USD
X023;ComStage S&P Small Cap 600 UCITS ETF;0H7Q;EUR
HEAT;ETFS Heating Oil;HEAT;USD
